CoReg;Year;Series;Value;Footnotes;Source
Europe;2005;Net imports [Imports - Exports - Bunkers] (petajoules);10812;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2010;Net imports [Imports - Exports - Bunkers] (petajoules);8137;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2015;Net imports [Imports - Exports - Bunkers] (petajoules);2874;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2016;Net imports [Imports - Exports - Bunkers] (petajoules);1683;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2017;Net imports [Imports - Exports - Bunkers] (petajoules);2590;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2018;Net imports [Imports - Exports - Bunkers] (petajoules);1995;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;1995;Changes in stocks (petajoules);112;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2000;Changes in stocks (petajoules);261;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2005;Changes in stocks (petajoules);583;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2010;Changes in stocks (petajoules);-1193;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2015;Changes in stocks (petajoules);184;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2016;Changes in stocks (petajoules);-788;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2017;Changes in stocks (petajoules);251;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2018;Changes in stocks (petajoules);-311;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;1995;Total supply (petajoules);106768;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2000;Total supply (petajoules);106779;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2005;Total supply (petajoules);113031;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2010;Total supply (petajoules);111987;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2015;Total supply (petajoules);103959;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2016;Total supply (petajoules);105153;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2017;Total supply (petajoules);107059;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2018;Total supply (petajoules);109167;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;1995;Supply per capita (gigajoules);147;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2000;Supply per capita (gigajoules);147;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2005;Supply per capita (gigajoules);155;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2010;Supply per capita (gigajoules);152;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2015;Supply per capita (gigajoules);140;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2016;Supply per capita (gigajoules);141;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2017;Supply per capita (gigajoules);143;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Europe;2018;Supply per capita (gigajoules);146;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;1995;Primary energy production (petajoules);8662;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2000;Primary energy production (petajoules);10651;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2005;Primary energy production (petajoules);12256;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2010;Primary energy production (petajoules);14530;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2015;Primary energy production (petajoules);17058;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2016;Primary energy production (petajoules);17215;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2017;Primary energy production (petajoules);17986;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2018;Primary energy production (petajoules);18215;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-3784;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-5382;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-6530;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-7767;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-10417;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-10823;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-11233;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-11618;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;1995;Changes in stocks (petajoules);103;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2000;Changes in stocks (petajoules);-233;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2005;Changes in stocks (petajoules);-37;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2010;Changes in stocks (petajoules);281;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2015;Changes in stocks (petajoules);66;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2016;Changes in stocks (petajoules);-178;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2017;Changes in stocks (petajoules);122;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2018;Changes in stocks (petajoules);-48;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;1995;Total supply (petajoules);4776;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Oceania;2000;Total supply (petajoules);5500;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
